CBSA,CBSA_NAME,HISPANIC_POP,POPULATION,BUSINESSES
31500,"Madison, IN",754,31727,679
22100,"Farmington, MO",794,68167,1413
32700,"McPherson, KS",1086,30228,905
11060,"Altus, OK",5542,26521,538
13300,"Beeville, TX",17530,31098,461
14780,"Brenham, TX",4647,33822,893
34700,"Muscatine, IA",6850,44223,939
31620,"Magnolia, AR",541,25419,581
23820,"Gardnerville Ranchos, NV",4991,45500,1552
15620,"Cadillac, MI",805,47788,1094
14380,"Boone, NC",1567,47210,1483
36900,"Ottumwa, IA",3310,44371,945
17700,"Coffeyville, KS",1863,36252,881
37420,"Pampa, TX",5375,22640,634
39260,"Prineville, OR",1453,20763,470
13460,"Bend-Redmond, OR",11555,156294,5651
19140,"Dalton, GA",37509,142940,2656
11500,"Anniston-Oxford-Jacksonville, AL",4049,128205,2377
26660,"Huntsville, TX",12594,83403,1107
42780,"Selinsgrove, PA",629,35674,810
15500,"Burlington, NC",17091,157873,3214
16180,"Carson City, NV",12169,56849,2158
44260,"Starkville, MS",677,46261,822
14420,"Borger, TX",4506,22708,476
48460,"West Plains, MO",718,42293,1091
35580,"New Ulm, MN",873,27369,784
27160,"Jackson, OH",256,31685,576
31680,"Malvern, AR",886,31555,463
28780,"Kingsville, TX",22739,32362,572
40100,"Rio Grande City, TX",58529,61163,507
11380,"Andrews, TX",7195,14786,347
48820,"Willmar, MN",4690,41711,1388
19540,"Decatur, IN",1410,33946,723
21840,"Fairfield, IA",413,16297,652
47920,"Washington Court House, OH",486,26410,579
18900,"Crossville, TN",1252,51397,998
10860,"Alice, TX",31666,41439,905
29660,"Laramie, WY",3195,36280,1004
23980,"Glasgow, KY",1168,50577,949
21980,"Fallon, NV",2984,24772,510
27860,"Jonesboro, AR",4837,122606,2758
45140,"Tahlequah, OK",2855,43412,696
20420,"Durango, CO",6140,51697,2264
18780,"Craig, CO",1977,13778,428
44340,"Statesboro, GA",2378,65886,1344
30580,"Liberal, KS",12970,22808,563
